Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1961","1961","kg CO2eq/kg","0.1426","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1962","1962","kg CO2eq/kg","0.1429","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1963","1963","kg CO2eq/kg","0.1599","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1964","1964","kg CO2eq/kg","0.1514","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1965","1965","kg CO2eq/kg","0.1683","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1966","1966","kg CO2eq/kg","0.1586","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1967","1967","kg CO2eq/kg","0.1687","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1968","1968","kg CO2eq/kg","0.17","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1969","1969","kg CO2eq/kg","0.1763","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1970","1970","kg CO2eq/kg","0.1825","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1971","1971","kg CO2eq/kg","0.1807","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1972","1972","kg CO2eq/kg","0.1884","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1973","1973","kg CO2eq/kg","0.1807","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1974","1974","kg CO2eq/kg","0.1874","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1975","1975","kg CO2eq/kg","0.2232","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1976","1976","kg CO2eq/kg","0.1939","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1977","1977","kg CO2eq/kg","0.2032","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1978","1978","kg CO2eq/kg","0.1911","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1979","1979","kg CO2eq/kg","0.2138","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1980","1980","kg CO2eq/kg","0.2081","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1981","1981","kg CO2eq/kg","0.2254","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1982","1982","kg CO2eq/kg","0.2114","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1983","1983","kg CO2eq/kg","0.2226","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1984","1984","kg CO2eq/kg","0.2135","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1985","1985","kg CO2eq/kg","0.2204","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1986","1986","kg CO2eq/kg","0.2184","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1987","1987","kg CO2eq/kg","0.2228","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1988","1988","kg CO2eq/kg","0.2249","E","Estimated value"
