Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1961","1961","kg CO2eq/kg","1.9875","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1962","1962","kg CO2eq/kg","1.9666","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1963","1963","kg CO2eq/kg","1.9866","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1964","1964","kg CO2eq/kg","1.9384","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1965","1965","kg CO2eq/kg","1.8538","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1966","1966","kg CO2eq/kg","1.8471","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1967","1967","kg CO2eq/kg","1.7973","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1968","1968","kg CO2eq/kg","1.7706","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1969","1969","kg CO2eq/kg","1.7664","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1970","1970","kg CO2eq/kg","1.7346","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1971","1971","kg CO2eq/kg","1.7313","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1972","1972","kg CO2eq/kg","1.7018","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1973","1973","kg CO2eq/kg","1.6716","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1974","1974","kg CO2eq/kg","1.6601","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1975","1975","kg CO2eq/kg","1.6652","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1976","1976","kg CO2eq/kg","1.6465","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1977","1977","kg CO2eq/kg","1.6177","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1978","1978","kg CO2eq/kg","1.6093","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1979","1979","kg CO2eq/kg","1.6087","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1980","1980","kg CO2eq/kg","1.6066","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1981","1981","kg CO2eq/kg","1.6094","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1982","1982","kg CO2eq/kg","1.5854","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1983","1983","kg CO2eq/kg","1.543","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1984","1984","kg CO2eq/kg","1.5317","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1985","1985","kg CO2eq/kg","1.5094","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1986","1986","kg CO2eq/kg","1.4916","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1987","1987","kg CO2eq/kg","1.4799","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1988","1988","kg CO2eq/kg","1.4531","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1989","1989","kg CO2eq/kg","1.4403","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1990","1990","kg CO2eq/kg","1.4282","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1991","1991","kg CO2eq/kg","1.4435","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1992","1992","kg CO2eq/kg","1.434","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1993","1993","kg CO2eq/kg","1.4193","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1994","1994","kg CO2eq/kg","1.4246","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1995","1995","kg CO2eq/kg","1.4096","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1996","1996","kg CO2eq/kg","1.38","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1997","1997","kg CO2eq/kg","1.3654","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1998","1998","kg CO2eq/kg","1.3391","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","1999","1999","kg CO2eq/kg","1.3126","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2000","2000","kg CO2eq/kg","1.2879","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2001","2001","kg CO2eq/kg","1.2761","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2002","2002","kg CO2eq/kg","1.2514","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2003","2003","kg CO2eq/kg","1.2522","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2004","2004","kg CO2eq/kg","1.2379","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2005","2005","kg CO2eq/kg","1.2056","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2006","2006","kg CO2eq/kg","1.1903","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2007","2007","kg CO2eq/kg","1.1919","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2008","2008","kg CO2eq/kg","1.1743","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2009","2009","kg CO2eq/kg","1.1858","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2010","2010","kg CO2eq/kg","1.1654","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2011","2011","kg CO2eq/kg","1.1458","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2012","2012","kg CO2eq/kg","1.1346","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2013","2013","kg CO2eq/kg","1.1248","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2014","2014","kg CO2eq/kg","1.0987","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2015","2015","kg CO2eq/kg","1.0629","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2016","2016","kg CO2eq/kg","1.0651","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2017","2017","kg CO2eq/kg","1.0296","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2018","2018","kg CO2eq/kg","0.999","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2019","2019","kg CO2eq/kg","0.9815","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2020","2020","kg CO2eq/kg","0.9623","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2021","2021","kg CO2eq/kg","0.9535","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2022","2022","kg CO2eq/kg","0.9495","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2023","2023","kg CO2eq/kg","0.947","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1961","1961","t","313612917.9","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1962","1962","t","316029141.7","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1963","1963","t","312809648.7","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1964","1964","t","317601192.4","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1965","1965","t","332499780.1","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1966","1966","t","340890974.1","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1967","1967","t","350191455.5","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1968","1968","t","357531239.7","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1969","1969","t","358263322.2","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1970","1970","t","359266811.5","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1971","1971","t","361269191.4","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1972","1972","t","371071553.2","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1973","1973","t","377493196.2","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1974","1974","t","384547867.4","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1975","1975","t","387713591.8","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1976","1976","t","394912886.5","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1977","1977","t","406194531.4","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1978","1978","t","411670041.1","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1979","1979","t","417071462.3","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1980","1980","t","422333567","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1981","1981","t","423962214.6","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1982","1982","t","432800013.8","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1983","1983","t","448291909.4","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1984","1984","t","451662397.2","E","Estimated value"
"EI","Emissions intensities","001","World","5510","Production","02211","Raw milk of cattle","1985","1985","t","457533437.7","E","Estimated value"
