from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,electric_tractor
"market group for electricity, low voltage","electricity, low voltage",World,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '0cafab61141d4409954102d892bdbdf7')","fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b0f1ff6bb68046a0b5c1ce7c79437c82')",technosphere,0.0,0.518915035171922
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b0f1ff6bb68046a0b5c1ce7c79437c82')",biosphere,2.1200000901444582e-06,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')","fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b0f1ff6bb68046a0b5c1ce7c79437c82')",biosphere,7.730000106676016e-07,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b0f1ff6bb68046a0b5c1ce7c79437c82')",biosphere,0.3156439961211581,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b0f1ff6bb68046a0b5c1ce7c79437c82')",biosphere,0.0004600000102072954,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b0f1ff6bb68046a0b5c1ce7c79437c82')",biosphere,1.2700000297627412e-05,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b0f1ff6bb68046a0b5c1ce7c79437c82')",biosphere,1.3699999726668466e-05,0.0
"NMVOC, non-methane volatile organic compounds",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '33b38ccb-593b-4b11-b965-10d747ba3556')","fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b0f1ff6bb68046a0b5c1ce7c79437c82')",biosphere,0.00024500000290572643,0.0
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')","fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b0f1ff6bb68046a0b5c1ce7c79437c82')",biosphere,0.004279999993741512,0.0
"PAH, polycyclic aromatic hydrocarbons",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '13d898ac-b9be-4723-a153-565e2a9144ac')","fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b0f1ff6bb68046a0b5c1ce7c79437c82')",biosphere,3.4799998616108496e-07,0.0
