from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,double_inhibitors,nitrification_inhibitors,urease_inhibitors
market for [sulfonyl]urea-compound,[sulfonyl]urea-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '6d3e2170db9d4cf4aefd3a72b55509d0')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,9.551021321385633e-06,9.104882098556372e-06,8.459717733733954e-06,8.993428739534494e-06
market for [thio]carbamate-compound,[thio]carbamate-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'd9719c09ca0949ff973775ba0f8c92b0')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.0410228646360338e-05,2.8989731788713383e-05,2.6935543530877182e-05,2.8634866898644385e-05
"market for acetamide-anillide-compound, unspecified","acetamide-anillide-compound, unspecified",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'eb4e70d1e203481aa2a0f7bd0763b5f3')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.7441161566675873e-06,3.569224172228396e-06,3.316311919103266e-06,3.5255331042067677e-06
market for aclonifen,aclonifen,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '553e175a446d454194f6e466ac5d0896')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,1.8899230781244114e-05,1.801642591157685e-05,1.6739796971872554e-05,1.7795885858045303e-05
"market for application of plant protection product, by field sprayer","application of plant protection product, by field sprayer",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'ff595daaff4d469392865f5d461931b6')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.00021498111891560256,0.0002049391028747403,0.00019041728867635302,0.00020243043212391954
market for benzimidazole-compound,benzimidazole-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '8e6d181af2a24a27932b92bec7cf636f')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.850660959869856e-06,3.67079214477584e-06,3.4106828696810063e-06,3.6258577776552316e-06
"market for chemical, inorganic","chemical, inorganic",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '79b6526a68414a2aa5f422df6c612305')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,1.999829919441254e-07,1.906415557141329e-07,1.7713285380347687e-07,1.8830790201895044e-07
market for chlorothalonil,chlorothalonil,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'aedc5ffa33be47b6a763480d7ea6fc85')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.005749749718234e-05,2.865347711838164e-05,2.6623115586521114e-05,2.8302728340096362e-05
market for copper oxide,copper oxide,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'c981190b60194b77a2e41764236fa1bc')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,2.2523752818415232e-07,2.1471642343579821e-07,1.9950179644300473e-07,2.120880679700116e-07
market for cyclic N-compound,cyclic N-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '1649cd7cf4c34a3eb8823ce0cea13ee5')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,2.1536348867812194e-05,2.053036117045967e-05,1.907559687140141e-05,2.0279047898128243e-05
market for diazine-compound,diazine-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '7fa2c4a421b24688b9bae8256445c102')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,1.8019001846170113e-09,1.717731348538619e-09,1.5960143353560774e-09,1.6967045052890877e-09
market for diazole-compound,diazole-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '40e13201bd244d069bc2c727a755d5d1')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,4.282215826378888e-08,4.082188585680542e-08,3.7929281013099095e-08,4.03221829225884e-08
market for dinitroaniline-compound,dinitroaniline-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'd98025fd39294c2583a6a48b3c3c52b1')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,1.2540261195681524e-05,1.1954491130296973e-05,1.1107405842056265e-05,1.1808155551489193e-05
