from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,improve_fertilizer_placement,improve_fertilizer_rate
market for [sulfonyl]urea-compound,[sulfonyl]urea-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '4bda68232fb14a3fad0bc3d65cad4dde')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,8.490752406942192e-06,7.4808391250592e-06,9.529463980855435e-06
market for [thio]carbamate-compound,[thio]carbamate-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'c400394614524b8f98efbb7fe8ac4f15')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,2.703435893636197e-05,2.3818818446133892e-05,3.0341592521169438e-05
"market for acetamide-anillide-compound, unspecified","acetamide-anillide-compound, unspecified",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '4dc05d3171f04c0fa89380a4f52e6f7f')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,3.3284782148257364e-06,2.932579924956596e-06,3.735665785438537e-06
market for aclonifen,aclonifen,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '011a785d65914e69811dfbba86c0b6cb')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,1.6801208403194323e-05,1.4802826786955351e-05,1.8856575087760182e-05
"market for application of plant protection product, by field sprayer","application of plant protection product, by field sprayer",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '5e707625456c48df831a7c37da3d8fcb')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,0.00019111584697384387,0.00016838400614435582,0.00021449590008287752
market for benzimidazole-compound,benzimidazole-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '5206af4ce2b74f1096842c6de05da758')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,3.423195039431448e-06,3.016030871745769e-06,3.8419697412249695e-06
"market for chemical, inorganic","chemical, inorganic",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'eaf13faee6b24eceb700fbdfb4be5373')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,1.777826810211991e-07,1.5663672336669523e-07,1.9953162853108764e-07
market for chlorothalonil,chlorothalonil,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd1322e7347bb41e9bf6e1331742d8101')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,2.6720785172074102e-05,2.35425420018274e-05,2.9989657881115714e-05
market for copper oxide,copper oxide,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'f41a6e0f852e4a1ba7370666d4a789e3')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,2.0023368563215627e-07,1.7641734416930067e-07,2.2472916457032127e-07
market for cyclic N-compound,cyclic N-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'ffb90e23868d4f06b7a24c131113f12b')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,1.914557651616633e-05,1.686834935345051e-05,2.148774019771754e-05
market for diazine-compound,diazine-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'b9c173a9c82a4b7c96d9b885d93bc2bb')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,1.6018695259134574e-09,1.4113387893510638e-09,1.7978333624168994e-09
market for diazole-compound,diazole-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '00467d44727b42788ff9e1ee92fe8181')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,3.8068428409587796e-08,3.354046555910819e-08,4.2725508877202914e-08
market for dinitroaniline-compound,dinitroaniline-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '0db560ffd6dc455896574a448b024ede')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,1.1148154044349212e-05,9.82216215361164e-06,1.2511957401065334e-05
market for diphenylether-compound,diphenylether-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'cfe98d84c6fc462987ccf466b4b8432d')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,2.90539077241192e-08,2.5598156585127047e-08,3.260820171057149e-08
