from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,nop_supplementation,increase_feed_level,nitrate_supplementation
alfalfa/grass silage production,alfalfa-grass silage,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '252323942f3749189c30baf01fe1808f')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.0574413537979126,0.0574413537979126,0.0778507389230271,0.05520569873987366
"market for barley grain, feed","barley grain, feed",GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'ce17d73c1f70453bb90c4fb63be57a8f')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.019741682335734367,0.019741682335734367,0.026756064330023546,0.018973323147624732
"market for diesel, burned in agricultural machinery","diesel, burned in agricultural machinery",GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '7f54be87cf0b41b9aeeaf6d582cb31d9')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.35512426495552063,0.35512426495552063,0.30404474739342524,0.3562285735334744
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '12427959ec4347259d6da4ecbf8a3d57')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.007360757794231176,0.007360757794231176,0.006302018659444501,0.007383647100241926
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'fe90bab16e3946cca138eaedcb3ae9da')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.0024535858538001776,0.0024535858538001776,0.002100672820034399,0.002461215622229088
"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '966bb83fb46c475bb19523b8112c21f6')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.0010169468587264419,0.0010169468587264419,0.0008706736804164742,0.0010201091972378792
"market for limestone, crushed, washed","limestone, crushed, washed",RoW,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'e7d9db99a8df4f92abf49303020ed01b')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.003979006316512823,0.003979006316512823,0.0034066834901650884,0.003991379593251904
market for magnesium oxide,magnesium oxide,GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'c7eccf82bb8e48b79640aa87c560b8f6')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.000443905359134078,0.000443905359134078,0.0003800559581627381,0.00044528574494340255
"market for maize grain, feed","maize grain, feed",ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'c51ce06540d940d1ac5c2c80e520997f')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.27154093980789185,0.27154093980789185,0.36802166756497673,0.26097238883533064
"manure, liquid, cattle, Recycled Content cut-off","manure, liquid, cattle",GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '0afe426ce9fe4a4bab3ee06095624e08')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,-0.1388213038444519,-0.1388213038444519,-0.11885385603120883,-0.1392529881075854
"manure, solid, cattle, Recycled Content cut-off","manure, solid, cattle",GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'f892a297eaa84a638002d293215f5b35')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,-1.251006007194519,-1.251006007194519,-1.0710667869816088,-1.2548961853691634
"market for operation, housing system, cattle, loose, per animal unit","operation, housing system, cattle, loose, per animal unit",GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '0ccdd62bc212410a9aba4a46cb30ae2d')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,1.1702959454851225e-05,1.1702959454851225e-05,1.001965706750961e-05,1.1739351444328643e-05
"market for operation, housing system, cattle, tied, per animal unit","operation, housing system, cattle, tied, per animal unit",GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'dbdb197720ae423fbc7acd0ae8034844')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.00011548883776413277,0.00011548883776413277,9.887742959257943e-05,0.00011584796646015926
market for rape meal,rape meal,GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '3d2858ed09fd45b8a6255dcf95098884')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.01132362149655819,0.01132362149655819,0.015346997285146931,0.010882898741952453
"market for sodium chloride, powder","sodium chloride, powder",GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '9930b25b3eb1447bbd17bc91a926798b')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.0013236450031399727,0.0013236450031399727,0.001133257708167785,0.0013277610624335165
"market for soybean, feed","soybean, feed",GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '5e23e1e8523f408eb8ee7cf91396c8dc')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.02811131440103054,0.02811131440103054,0.038099495459615884,0.027017203658970167
market for straw,straw,RoW,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '5b8179a3e44344de918045b68a4ba0b8')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.06422099471092224,0.06422099471092224,0.08703924197550507,0.061721471594477474
market for urea,urea,RoW,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '9cc9c16b515d40e6a31b061f4cb9e642')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.001903287717141211,0.001903287717141211,0.0016295271550866533,0.001909206256536474
market for wheat bran,wheat bran,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'fdc89439de744fb39ee6afd4c573683d')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.037756167352199554,0.037756167352199554,0.05117124393709922,0.036286672625280764
