from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,amount_baseline,potato | amount_biochar_amendment
market for [sulfonyl]urea-compound,[sulfonyl]urea-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '603c9dc048b641e580fedf4368b42a86')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,4.2594763272063574e-08,3.3994224478901495e-08
market for [thio]carbamate-compound,[thio]carbamate-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '2f82889fd15c407e8ec4b4200a067a5f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,3.4501758818805683e-06,2.753532228156878e-06
"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RER,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '86e6a91ac0ea44768f6d7688b1694aab')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,4.7823282329773065e-06,3.816702500380931e-06
"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'e7b8846079bc4f0ea55a9a42f8c2767a')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,2.3952172341523692e-05,1.911585980967573e-05
market for ammonium nitrate,ammonium nitrate,RER,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '5271cb723ee84da198361278f55ff770')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.0012910716468468308,0.0010303843949296336
market for ammonium nitrate,ammonium nitrate,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19d4dbd139b5492aadb578eeb4448094')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.002336293924599886,0.0018645601952114012
market for ammonium sulfate,ammonium sulfate,RER,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '9b53d4f14f664b1c9550d506ae702610')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,1.8808274035109207e-05,1.501059380296026e-05
market for ammonium sulfate,ammonium sulfate,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'ea0d0d8fe70f4ed4af248582a7001665')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,6.4386724261567e-05,5.138605288233599e-05
"market for application of plant protection product, by field sprayer","application of plant protection product, by field sprayer",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '22c7bdc87dc94a93b3785835ee5d8c51')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,9.080000018002465e-05,7.246608154830379e-05
market for benzimidazole-compound,benzimidazole-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0eb391f9bc7c4c7bbdf8525dc3214332')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,1.3971082807984203e-05,1.1150105992006545e-05
